Title,Link,Date 
An update on Google+ and Blogger, https://blogger.googleblog.com/2019/01/an-update-on-google-and-blogger.html, 
January 30 2019
 
It’s spring cleaning time for Blogger, https://blogger.googleblog.com/2018/05/its-spring-cleaning-time-for-blogger.html, 
May 15 2018
 
Share your unique style with new Blogger themes, https://blogger.googleblog.com/2017/03/share-your-unique-style-with-new.html, 
March 20 2017
 
A first few tweaks toward a better Blogger, https://blogger.googleblog.com/2016/11/a-first-few-tweaks-toward-better-blogger_22.html, 
November 22 2016
 
More custom template flexibility, https://blogger.googleblog.com/2016/05/more-custom-template-flexibility.html, 
May 24 2016
 
Keep your readers interested with the AdSense Guide to Audience Engagement, https://blogger.googleblog.com/2016/05/keep-your-readers-interested-with.html, 
May 06 2016
 
Bringing HTTPS to all blogspot domain blogs, https://blogger.googleblog.com/2016/05/bringing-https-to-all-blogspot-domain.html, 
May 03 2016
 
An update to the Blogger post editor to help with mixed content, https://blogger.googleblog.com/2016/04/an-update-to-blogger-post-editor-to.html, 
April 19 2016
 
Best practices for reviewing products you've received for free, https://blogger.googleblog.com/2016/03/best-practices-for-reviewing-products.html, 
March 11 2016
 
An update on Google Friend Connect, https://blogger.googleblog.com/2015/12/an-update-on-google-friend-connect.html, 
December 21 2015
 
